진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,동대문구,남,0~9세,0,0,0
2023,서울,동대문구,남,10~19세,0,0,0
2023,서울,동대문구,남,20~29세,0,0,0
2023,서울,동대문구,남,30~39세,0,0,0
2023,서울,동대문구,남,40~49세,0,0,0
2023,서울,동대문구,남,50~59세,0,0,0
2023,서울,동대문구,남,60~69세,0,0,0
2023,서울,동대문구,남,70~79세,0,0,0
2023,서울,동대문구,남,80~89세,0,0,0
2023,서울,동대문구,남,90~99세,0,0,0
2023,서울,동대문구,남,100세 이상,0,0,0
2023,서울,동대문구,여,0~9세,0,0,0
2023,서울,동대문구,여,10~19세,0,0,0
2023,서울,동대문구,여,20~29세,14,35,12007050
2023,서울,동대문구,여,30~39세,20,47,1803150
2023,서울,동대문구,여,40~49세,26,81,35590970
2023,서울,동대문구,여,50~59세,11,19,635500
2023,서울,동대문구,여,60~69세,0,0,0
2023,서울,동대문구,여,70~79세,0,0,0
2023,서울,동대문구,여,80~89세,0,0,0
2023,서울,동대문구,여,90~99세,0,0,0
2023,서울,동대문구,여,100세 이상,0,0,0
2023,서울,동작구,남,0~9세,10,14,510580
2023,서울,동작구,남,10~19세,16,24,1192390
2023,서울,동작구,남,20~29세,0,0,0
2023,서울,동작구,남,30~39세,0,0,0
2023,서울,동작구,남,40~49세,0,0,0
2023,서울,동작구,남,50~59세,0,0,0
2023,서울,동작구,남,60~69세,0,0,0
2023,서울,동작구,남,70~79세,0,0,0
2023,서울,동작구,남,80~89세,0,0,0
2023,서울,동작구,남,90~99세,0,0,0
2023,서울,동작구,남,100세 이상,0,0,0
2023,서울,동작구,여,0~9세,0,0,0
2023,서울,동작구,여,10~19세,0,0,0
2023,서울,동작구,여,20~29세,10,20,1412210
2023,서울,동작구,여,30~39세,15,42,13380270
2023,서울,동작구,여,40~49세,14,18,1168230
2023,서울,동작구,여,50~59세,10,16,1053900
2023,서울,동작구,여,60~69세,0,0,0
2023,서울,동작구,여,70~79세,0,0,0
2023,서울,동작구,여,80~89세,0,0,0
2023,서울,동작구,여,90~99세,0,0,0
2023,서울,동작구,여,100세 이상,0,0,0
2023,서울,마포구,남,0~9세,0,0,0
2023,서울,마포구,남,10~19세,0,0,0
2023,서울,마포구,남,20~29세,0,0,0
2023,서울,마포구,남,30~39세,17,46,44919620
2023,서울,마포구,남,40~49세,0,0,0
2023,서울,마포구,남,50~59세,0,0,0
2023,서울,마포구,남,60~69세,0,0,0
2023,서울,마포구,남,70~79세,0,0,0
2023,서울,마포구,남,80~89세,0,0,0
2023,서울,마포구,남,90~99세,0,0,0
2023,서울,마포구,남,100세 이상,0,0,0
2023,서울,마포구,여,0~9세,0,0,0
2023,서울,마포구,여,10~19세,0,0,0
2023,서울,마포구,여,20~29세,28,57,41041270
2023,서울,마포구,여,30~39세,34,69,67984070
2023,서울,마포구,여,40~49세,23,56,21985990
2023,서울,마포구,여,50~59세,26,61,57965850
2023,서울,마포구,여,60~69세,0,0,0
2023,서울,마포구,여,70~79세,0,0,0
2023,서울,마포구,여,80~89세,0,0,0
2023,서울,마포구,여,90~99세,0,0,0
2023,서울,마포구,여,100세 이상,0,0,0
2023,서울,서대문구,남,0~9세,0,0,0
2023,서울,서대문구,남,10~19세,13,42,2285630
2023,서울,서대문구,남,20~29세,0,0,0
