진료년도,시도,시군구,성별,환자수,입내원일수,요양급여비용총액
2023,대전,대전대덕구,여,42,71,1080360
2023,대전,대전서구,남,167,410,48842560
2023,대전,대전서구,여,246,523,74279170
2023,대전,대전동구,남,13,25,978290
2023,대전,대전동구,여,32,76,2498950
2023,대전,대전중구,남,40,156,94356440
2023,대전,대전중구,여,106,399,176523020
2023,울산,울산남구,남,0,0,0
2023,울산,울산남구,여,54,80,1384500
2023,울산,울산동구,남,84,311,62328130
2023,울산,울산동구,여,140,539,47964860
2023,울산,울산중구,남,0,0,0
2023,울산,울산중구,여,0,0,0
2023,울산,울산북구,남,0,0,0
2023,울산,울산북구,여,11,14,260100
2023,울산,울산울주군,남,0,0,0
2023,울산,울산울주군,여,0,0,0
2023,경기,가평군,남,0,0,0
2023,경기,가평군,여,0,0,0
2023,경기,양평군,남,0,0,0
2023,경기,양평군,여,0,0,0
2023,경기,연천군,남,0,0,0
2023,경기,연천군,여,22,43,692610
2023,경기,광명시,남,27,49,17702080
2023,경기,광명시,여,69,117,11945390
2023,경기,동두천시,남,0,0,0
2023,경기,동두천시,여,54,88,2425400
2023,경기,부천시,남,49,148,40885030
2023,경기,부천시,여,320,759,61076540
2023,경기,부천소사구,남,0,0,0
2023,경기,부천소사구,여,0,0,0
2023,경기,부천오정구,남,0,0,0
2023,경기,부천오정구,여,48,52,117480
2023,경기,부천원미구,남,17,50,33327720
2023,경기,부천원미구,여,22,43,13294700
2023,경기,성남수정구,남,28,46,1214540
2023,경기,성남수정구,여,49,81,1997460
2023,경기,성남중원구,남,0,0,0
2023,경기,성남중원구,여,27,47,1369450
2023,경기,성남분당구,남,395,1490,540272610
2023,경기,성남분당구,여,665,2542,1101575980
2023,경기,수원권선구,남,18,31,836840
2023,경기,수원권선구,여,132,254,119160030
2023,경기,수원장안구,남,18,41,1336630
2023,경기,수원장안구,여,56,142,3172650
2023,경기,수원팔달구,남,33,166,47743620
2023,경기,수원팔달구,여,100,410,123198820
2023,경기,수원영통구,남,72,242,134735770
2023,경기,수원영통구,여,133,343,110659200
2023,경기,안양만안구,남,0,0,0
2023,경기,안양만안구,여,0,0,0
2023,경기,안양동안구,남,72,188,49639940
2023,경기,안양동안구,여,103,190,17524680
2023,경기,의정부시,남,48,116,33206250
2023,경기,의정부시,여,81,224,45507410
2023,경기,과천시,남,0,0,0
2023,경기,과천시,여,0,0,0
2023,경기,구리시,남,18,45,1128940
2023,경기,구리시,여,64,129,2410070
2023,경기,안산단원구,남,36,104,30174010
2023,경기,안산단원구,여,87,203,33330560
2023,경기,안산상록구,남,36,165,141219550
2023,경기,안산상록구,여,83,330,231779320
2023,경기,평택시,남,60,127,14029050
